3.771421356237308942e+01,3.529999999999999716e+01,3.371421356237308942e+01,3.253606797749978341e+01,3.146227766016837890e+01,3.242310562561765863e+01,3.539901951359278343e+01,3.838276253029821561e+01,4.137106781186547266e+01,4.436225774829854629e+01,4.735538513813741446e+01
3.529999999999999716e+01,3.229999999999999716e+01,3.130000000000000071e+01,3.030000000000000071e+01,2.930000000000000071e+01,3.030000000000000071e+01,3.329999999999999716e+01,3.629999999999999716e+01,3.929999999999999716e+01,4.229999999999999716e+01,4.529999999999999716e+01
3.371421356237308942e+01,3.130000000000000071e+01,2.971421356237309652e+01,2.853606797749979052e+01,2.746227766016837890e+01,2.842310562561766218e+01,3.139901951359278698e+01,3.438276253029821561e+01,3.737106781186547266e+01,4.036225774829854629e+01,4.335538513813741446e+01
3.253606797749978341e+01,3.030000000000000071e+01,2.853606797749979052e+01,2.712842712474619233e+01,2.590555127546398850e+01,2.677213595499958032e+01,2.968516480713450534e+01,3.262455532033675354e+01,3.558010988928051432e+01,3.854621125123532011e+01,4.151954445729288068e+01
3.146227766016837890e+01,2.930000000000000071e+01,2.746227766016837890e+01,2.590555127546398850e+01,2.454264068711928459e+01,2.530000000000000071e+01,2.813095189484529968e+01,3.100820393249937013e+01,3.391577310586390581e+01,3.684400374531752931e+01,3.978683298050513883e+01
3.242310562561765863e+01,3.030000000000000071e+01,2.842310562561766218e+01,2.677213595499958032e+01,2.530000000000000071e+01,2.595685424949238040e+01,2.870312423743284924e+01,3.151110255092797985e+01,3.436225774829854629e+01,3.724427190999915638e+01,4.014885780179609753e+01
3.539901951359278343e+01,3.329999999999999716e+01,3.139901951359278698e+01,2.968516480713450534e+01,2.813095189484529968e+01,2.870312423743284924e+01,3.137106781186547622e+01,3.411024967590665113e+01,3.690232526704262739e+01,3.973398113205659854e+01,4.259563014098699796e+01
3.838276253029821561e+01,3.629999999999999716e+01,3.438276253029821561e+01,3.262455532033675354e+01,3.100820393249937013e+01,3.151110255092797985e+01,3.411024967590665113e+01,3.678528137423856492e+01,3.951954445729288068e+01,4.229999999999999716e+01,4.511665382639196764e+01
4.137106781186547266e+01,3.929999999999999716e+01,3.737106781186547266e+01,3.558010988928051432e+01,3.391577310586390581e+01,3.436225774829854629e+01,3.690232526704262739e+01,3.951954445729288068e+01,4.219949493661166429e+01,4.493014581273465069e+01,4.770175425099137811e+01
4.436225774829854629e+01,4.229999999999999716e+01,4.036225774829854629e+01,3.854621125123532011e+01,3.684400374531752931e+01,3.724427190999915638e+01,3.973398113205659854e+01,4.229999999999999716e+01,4.493014581273465069e+01,4.761370849898475655e+01,5.034159457879229649e+01
4.735538513813741446e+01,4.529999999999999716e+01,4.335538513813741446e+01,4.151954445729288068e+01,3.978683298050513883e+01,4.014885780179609753e+01,4.259563014098699796e+01,4.511665382639196764e+01,4.770175425099137811e+01,5.034159457879229649e+01,5.302792206135785591e+01
